latitude,longitude,messageTime,odometer.value,truck_name,timeedit,datetime
43.064604,-76.116408,2020-12-17T16:05:00Z,23094.44,938761,2020-12-17 16:05:00+00:00,2020-12-17 12:00:00
43.064675,-76.116693,2020-12-17T16:05:16Z,23094.5,938761,2020-12-17 16:05:16+00:00,2020-12-17 12:00:00
43.065102,-76.116693,2020-12-17T16:05:31Z,23094.5,938761,2020-12-17 16:05:31+00:00,2020-12-17 12:00:00
43.065742,-76.116764,2020-12-17T16:05:46Z,23094.57,938761,2020-12-17 16:05:46+00:00,2020-12-17 12:00:00
43.066026,-76.116764,2020-12-17T16:06:02Z,23094.57,938761,2020-12-17 16:06:02+00:00,2020-12-17 12:00:00
43.049528,-76.189226,2020-12-17T15:51:09Z,44539.45,950063,2020-12-17 15:51:09+00:00,2020-12-17 11:00:00
43.04896,-76.190577,2020-12-17T15:51:24Z,44539.58,950063,2020-12-17 15:51:24+00:00,2020-12-17 11:00:00
43.048675,-76.19136,2020-12-17T15:51:39Z,44539.64,950063,2020-12-17 15:51:39+00:00,2020-12-17 11:00:00
43.048533,-76.191857,2020-12-17T15:51:55Z,44539.64,950063,2020-12-17 15:51:55+00:00,2020-12-17 11:00:00
43.049102,-76.192426,2020-12-17T15:52:10Z,44539.64,950063,2020-12-17 15:52:10+00:00,2020-12-17 11:00:00
43.049671,-76.192142,2020-12-17T15:52:25Z,44539.7,950063,2020-12-17 15:52:25+00:00,2020-12-17 11:00:00
43.050097,-76.191075,2020-12-17T15:52:41Z,44539.82,950063,2020-12-17 15:52:41+00:00,2020-12-17 11:00:00
43.050026,-76.190577,2020-12-17T15:52:56Z,44539.82,950063,2020-12-17 15:52:56+00:00,2020-12-17 11:00:00
43.049315,-76.19008,2020-12-17T15:53:11Z,44539.82,950063,2020-12-17 15:53:11+00:00,2020-12-17 11:00:00
43.049102,-76.190222,2020-12-17T15:53:27Z,44539.89,950063,2020-12-17 15:53:27+00:00,2020-12-17 11:00:00
43.048888,-76.190862,2020-12-17T15:53:42Z,44539.95,950063,2020-12-17 15:53:42+00:00,2020-12-17 11:00:00
43.048533,-76.191786,2020-12-17T15:53:57Z,44539.95,950063,2020-12-17 15:53:57+00:00,2020-12-17 11:00:00
43.048888,-76.192284,2020-12-17T15:54:13Z,44540.01,950063,2020-12-17 15:54:13+00:00,2020-12-17 11:00:00
43.0496,-76.192284,2020-12-17T15:54:28Z,44540.07,950063,2020-12-17 15:54:28+00:00,2020-12-17 11:00:00
43.049955,-76.191502,2020-12-17T15:54:43Z,44540.14,950063,2020-12-17 15:54:43+00:00,2020-12-17 11:00:00
43.05024,-76.19072,2020-12-17T15:54:59Z,44540.14,950063,2020-12-17 15:54:59+00:00,2020-12-17 11:00:00
43.0496,-76.190293,2020-12-17T15:55:14Z,44540.2,950063,2020-12-17 15:55:14+00:00,2020-12-17 11:00:00
43.049173,-76.190151,2020-12-17T15:55:29Z,44540.26,950063,2020-12-17 15:55:29+00:00,2020-12-17 11:00:00
43.048888,-76.190862,2020-12-17T15:55:45Z,44540.32,950063,2020-12-17 15:55:45+00:00,2020-12-17 11:00:00
43.048533,-76.191786,2020-12-17T15:56:00Z,44540.38,950063,2020-12-17 15:56:00+00:00,2020-12-17 11:00:00
43.04832,-76.192355,2020-12-17T15:56:15Z,44540.38,950063,2020-12-17 15:56:15+00:00,2020-12-17 11:00:00
43.047822,-76.193706,2020-12-17T15:56:31Z,44540.45,950063,2020-12-17 15:56:31+00:00,2020-12-17 11:00:00
43.048035,-76.194133,2020-12-17T15:56:46Z,44540.51,950063,2020-12-17 15:56:46+00:00,2020-12-17 11:00:00
43.048746,-76.194488,2020-12-17T15:57:02Z,44540.57,950063,2020-12-17 15:57:02+00:00,2020-12-17 11:00:00
43.049244,-76.19328,2020-12-17T15:57:17Z,44540.57,950063,2020-12-17 15:57:17+00:00,2020-12-17 11:00:00
43.049386,-76.192568,2020-12-17T15:57:32Z,44540.63,950063,2020-12-17 15:57:32+00:00,2020-12-17 11:00:00
43.048604,-76.192071,2020-12-17T15:57:48Z,44540.69,950063,2020-12-17 15:57:48+00:00,2020-12-17 11:00:00
43.048248,-76.192568,2020-12-17T15:58:03Z,44540.76,950063,2020-12-17 15:58:03+00:00,2020-12-17 11:00:00
43.047822,-76.193777,2020-12-17T15:58:18Z,44540.76,950063,2020-12-17 15:58:18+00:00,2020-12-17 11:00:00
43.047822,-76.19392,2020-12-17T15:58:34Z,44540.88,950063,2020-12-17 15:58:34+00:00,2020-12-17 11:00:00
43.048391,-76.194417,2020-12-17T15:58:49Z,44540.88,950063,2020-12-17 15:58:49+00:00,2020-12-17 11:00:00
43.048888,-76.194204,2020-12-17T15:59:05Z,44540.94,950063,2020-12-17 15:59:05+00:00,2020-12-17 11:00:00
43.049386,-76.192995,2020-12-17T15:59:20Z,44541.01,950063,2020-12-17 15:59:20+00:00,2020-12-17 11:00:00
43.049386,-76.192568,2020-12-17T15:59:35Z,44541.01,950063,2020-12-17 15:59:35+00:00,2020-12-17 11:00:00
43.048604,-76.192,2020-12-17T15:59:51Z,44541.07,950063,2020-12-17 15:59:51+00:00,2020-12-17 11:00:00
43.048177,-76.192853,2020-12-17T16:00:06Z,44541.13,950063,2020-12-17 16:00:06+00:00,2020-12-17 12:00:00
43.047822,-76.193848,2020-12-17T16:00:21Z,44541.25,950063,2020-12-17 16:00:21+00:00,2020-12-17 12:00:00
43.048462,-76.194488,2020-12-17T16:00:37Z,44541.25,950063,2020-12-17 16:00:37+00:00,2020-12-17 12:00:00
43.049031,-76.193848,2020-12-17T16:00:52Z,44541.32,950063,2020-12-17 16:00:52+00:00,2020-12-17 12:00:00
43.049457,-76.192782,2020-12-17T16:01:07Z,44541.38,950063,2020-12-17 16:01:07+00:00,2020-12-17 12:00:00
43.049742,-76.192,2020-12-17T16:01:23Z,44541.44,950063,2020-12-17 16:01:23+00:00,2020-12-17 12:00:00
43.050168,-76.190862,2020-12-17T16:01:38Z,44541.44,950063,2020-12-17 16:01:38+00:00,2020-12-17 12:00:00
43.050666,-76.189724,2020-12-17T16:01:53Z,44541.5,950063,2020-12-17 16:01:53+00:00,2020-12-17 12:00:00
43.050951,-76.188657,2020-12-17T16:02:09Z,44541.63,950063,2020-12-17 16:02:09+00:00,2020-12-17 12:00:00
43.050168,-76.188088,2020-12-17T16:02:24Z,44541.69,950063,2020-12-17 16:02:24+00:00,2020-12-17 12:00:00
43.049884,-76.188373,2020-12-17T16:02:39Z,44541.69,950063,2020-12-17 16:02:39+00:00,2020-12-17 12:00:00
43.049386,-76.189511,2020-12-17T16:02:55Z,44541.75,950063,2020-12-17 16:02:55+00:00,2020-12-17 12:00:00
43.049528,-76.190151,2020-12-17T16:03:10Z,44541.81,950063,2020-12-17 16:03:10+00:00,2020-12-17 12:00:00
43.050097,-76.190577,2020-12-17T16:03:25Z,44541.88,950063,2020-12-17 16:03:25+00:00,2020-12-17 12:00:00
43.050524,-76.190008,2020-12-17T16:03:41Z,44541.94,950063,2020-12-17 16:03:41+00:00,2020-12-17 12:00:00
43.050951,-76.188871,2020-12-17T16:03:56Z,44541.94,950063,2020-12-17 16:03:56+00:00,2020-12-17 12:00:00
43.050595,-76.188373,2020-12-17T16:04:11Z,44542.0,950063,2020-12-17 16:04:11+00:00,2020-12-17 12:00:00
43.050382,-76.18816,2020-12-17T16:04:27Z,44542.06,950063,2020-12-17 16:04:27+00:00,2020-12-17 12:00:00
43.050311,-76.188088,2020-12-17T16:04:42Z,44542.06,950063,2020-12-17 16:04:42+00:00,2020-12-17 12:00:00
43.050311,-76.188088,2020-12-17T16:04:57Z,44542.06,950063,2020-12-17 16:04:57+00:00,2020-12-17 12:00:00
43.050311,-76.188088,2020-12-17T16:05:13Z,44542.06,950063,2020-12-17 16:05:13+00:00,2020-12-17 12:00:00
43.050311,-76.188088,2020-12-17T16:05:28Z,44542.06,950063,2020-12-17 16:05:28+00:00,2020-12-17 12:00:00
43.050382,-76.188088,2020-12-17T16:05:43Z,44542.06,950063,2020-12-17 16:05:43+00:00,2020-12-17 12:00:00
43.050097,-76.187946,2020-12-17T16:05:59Z,44542.06,950063,2020-12-17 16:05:59+00:00,2020-12-17 12:00:00
43.019946,-76.160213,2020-12-17T15:51:29Z,1560.6699999999983,955411,2020-12-17 15:51:29+00:00,2020-12-17 11:00:00
43.017315,-76.162346,2020-12-17T15:52:30Z,1560.8499999999913,955411,2020-12-17 15:52:30+00:00,2020-12-17 11:00:00
43.01696,-76.165688,2020-12-17T15:53:30Z,1561.0399999999936,955411,2020-12-17 15:53:30+00:00,2020-12-17 11:00:00
43.016106,-76.166471,2020-12-17T15:54:31Z,1561.0999999999913,955411,2020-12-17 15:54:31+00:00,2020-12-17 11:00:00
43.016035,-76.166542,2020-12-17T15:55:32Z,1561.159999999989,955411,2020-12-17 15:55:32+00:00,2020-12-17 11:00:00
43.015964,-76.168391,2020-12-17T15:56:33Z,1561.229999999996,955411,2020-12-17 15:56:33+00:00,2020-12-17 11:00:00
43.015324,-76.16896,2020-12-17T15:57:33Z,1561.2899999999936,955411,2020-12-17 15:57:33+00:00,2020-12-17 11:00:00
43.014542,-76.170311,2020-12-17T15:58:34Z,1561.409999999989,955411,2020-12-17 15:58:34+00:00,2020-12-17 11:00:00
43.010631,-76.169955,2020-12-17T15:59:35Z,1561.7200000000012,955411,2020-12-17 15:59:35+00:00,2020-12-17 11:00:00
43.009706,-76.170666,2020-12-17T16:00:36Z,1561.7899999999936,955411,2020-12-17 16:00:36+00:00,2020-12-17 12:00:00
43.011484,-76.170097,2020-12-17T16:01:41Z,1561.9700000000012,955411,2020-12-17 16:01:41+00:00,2020-12-17 12:00:00
43.014542,-76.17024,2020-12-17T16:02:40Z,1562.159999999989,955411,2020-12-17 16:02:40+00:00,2020-12-17 12:00:00
43.014542,-76.169884,2020-12-17T16:03:41Z,1562.159999999989,955411,2020-12-17 16:03:41+00:00,2020-12-17 12:00:00
43.014542,-76.169884,2020-12-17T16:04:42Z,1562.159999999989,955411,2020-12-17 16:04:42+00:00,2020-12-17 12:00:00
43.014542,-76.169884,2020-12-17T16:05:43Z,1562.159999999989,955411,2020-12-17 16:05:43+00:00,2020-12-17 12:00:00
43.055502,-76.10688,2020-12-17T16:01:14Z,11932.75,973265,2020-12-17 16:01:14+00:00,2020-12-17 12:00:00
43.055431,-76.106951,2020-12-17T16:01:29Z,11932.75,973265,2020-12-17 16:01:29+00:00,2020-12-17 12:00:00
43.055217,-76.107022,2020-12-17T16:01:44Z,11932.75,973265,2020-12-17 16:01:44+00:00,2020-12-17 12:00:00
43.055288,-76.107022,2020-12-17T16:02:00Z,11932.75,973265,2020-12-17 16:02:00+00:00,2020-12-17 12:00:00
43.05536,-76.107022,2020-12-17T16:02:15Z,11932.75,973265,2020-12-17 16:02:15+00:00,2020-12-17 12:00:00
43.05536,-76.107022,2020-12-17T16:02:30Z,11932.75,973265,2020-12-17 16:02:30+00:00,2020-12-17 12:00:00
43.05536,-76.107022,2020-12-17T16:02:46Z,11932.75,973265,2020-12-17 16:02:46+00:00,2020-12-17 12:00:00
43.05536,-76.107022,2020-12-17T16:03:01Z,11932.81,973265,2020-12-17 16:03:01+00:00,2020-12-17 12:00:00
43.05536,-76.107022,2020-12-17T16:03:16Z,11932.87,973265,2020-12-17 16:03:16+00:00,2020-12-17 12:00:00
